HIS    Protein
MGU3    Protein
MGUN    Protein
PGUN    Protein
ALDD    Protein
DALA    Protein
DARG    Protein
DASN    Protein
DASP    Protein
DCYS    Protein
DGLN    Protein
DGLU    Protein
DGLY    Protein
DHSD    Protein
DHSE    Protein
DHSP    Protein
DILE    Protein
DLEU    Protein
DLYS    Protein
DMET    Protein
DPHE    Protein
DPRO    Protein
DSER    Protein
DTHR    Protein
DTRP    Protein
DTYR    Protein
DVAL    Protein
CO2M    Protein
HEME    Protein
MESM    Protein
ALAC    Protein
AP2    Protein
MACE    Protein
MAMI    Protein
MLYS    Protein
TP2Z    Protein
004    Protein
0A1    Protein
0AF    Protein
0BN    Protein
0TD    Protein
143    Protein
200    Protein
26P    Protein
2AG    Protein
2AS    Protein
2CO    Protein
2FM    Protein
2GX    Protein
2HF    Protein
2HFD    Protein
2HFE    Protein
2LT    Protein
2MR    Protein
2NP    Protein
32T    Protein
3CF    Protein
3CT    Protein
3FG    Protein
3GL    Protein
3MY    Protein
4BF    Protein
4CF    Protein
4CY    Protein
4FB    Protein
4FW    Protein
4HH    Protein
4HMP    Protein
4HT    Protein
4IN    Protein
4PH    Protein
5CS    Protein
5CT    Protein
6CL    Protein
6CW    Protein
6V1    Protein
8LJ    Protein
9R1    Protein
AA4    Protein
ABA    Protein
ACZ    Protein
AGM    Protein
AGT    Protein
AHB    Protein
AHP    Protein
AIB    Protein
AIBD    Protein
ALC    Protein
ALN    Protein
ALO    Protein
ALS    Protein
ALY    Protein
ANTH    Protein
APD    Protein
APK    Protein
APM    Protein
ARO    Protein
AS2    Protein
ASB    Protein
ASL    Protein
ASPM    Protein
AYA    Protein
AZDA    Protein
AZH    Protein
B2H    Protein
B3A    Protein
B3E    Protein
B3K    Protein
B3S    Protein
B3X    Protein
B3Y    Protein
BB8    Protein
BCS    Protein
BHD    Protein
BIF    Protein
BIU    Protein
BTH3    Protein
BTR    Protein
BXT    Protein
BYR    Protein
C2N    Protein
CAN    Protein
CCS    Protein
CGU    Protein
CGUP    Protein
CGV    Protein
CH6    Protein
CHG    Protein
CHP    Protein
CIR    Protein
CME    Protein
CML    Protein
CNP2    Protein
CP24    Protein
CP34    Protein
CPA3    Protein
CPG2    Protein
CPG3    Protein
CPG4    Protein
CPH2    Protein
CR2    Protein
CR8D    Protein
CRF    Protein
CRO    Protein
CRQ    Protein
CSA    Protein
CSO    Protein
CSS    Protein
CSU    Protein
CSX    Protein
CTE    Protein
CTH    Protein
CXM    Protein
CYD    Protein
CYF    Protein
CYG    Protein
CYQ    Protein
CYQP    Protein
D4HMP    Protein
D4P    Protein
DA2    Protein
DAB    Protein
DAH    Protein
DANTH    Protein
DAZDA    Protein
DBB    Protein
DBTH3    Protein
DBY    Protein
DBZ    Protein
DCNP2    Protein
DCP24    Protein
DCP34    Protein
DCPA3    Protein
DCPG2    Protein
DCPG3    Protein
DCPG4    Protein
DCPH2    Protein
DDE    Protein
DDEP    Protein
DDILE    Protein
DDIPH    Protein
DDMP3    Protein
DDZ    Protein
DFGA4    Protein
DFPG2    Protein
DFPG3    Protein
DFPG4    Protein
DFPH2    Protein
DFPH3    Protein
DFUA2    Protein
DFVAL    Protein
DGBUT    Protein
DGDPR    Protein
DHIL4    Protein
DHLEU    Protein
DHSER    Protein
DIPH    Protein
DMK    Protein
DMOT5    Protein
DMP3    Protein
DMP34    Protein
DMPH2    Protein
DMTR5    Protein
DMTR6    Protein
DNAO1    Protein
DNAO2    Protein
DNP    Protein
DORN    Protein
DOTYR    Protein
DPP    Protein
DPYR2    Protein
DPYR3    Protein
DPYR4    Protein
DPYZ1    Protein
DQU32    Protein
DQU33    Protein
